"Unit","Time","PC","Value"
"16",5,"PC2",54.4146590658107
"16",6,"PC1",45.8405758437628
"16",6,"PC2",65.9100905750293
"16",7,"PC1",55.121549992235
"16",7,"PC2",78.3540690461006
"16",8,"PC1",62.4553599242696
"16",8,"PC2",91.5670236073884
"16",9,"PC1",70.8137612072361
"16",9,"PC2",105.845697794997
"16",10,"PC1",79.8689426953304
"16",10,"PC2",120.981693559212
"16",11,"PC1",87.8562162760517
"16",11,"PC2",136.159423615419
"16",12,"PC1",96.5471170740772
"16",12,"PC2",153.853689933334
"16",13,"PC1",104.196225418711
"16",13,"PC2",167.924247552437
"16",14,"PC1",113.884591384924
"16",14,"PC2",187.114581340974
"16",15,"PC1",121.208718156366
"16",15,"PC2",205.729547058391
"16",16,"PC1",129.71294899322
"16",16,"PC2",219.379457070552
"16",17,"PC1",138.585692511482
"16",17,"PC2",235.478299867713
"16",18,"PC1",148.703443885296
"16",18,"PC2",254.780101391339
"16",19,"PC1",158.157728547492
"16",19,"PC2",271.766228424892
"16",20,"PC1",166.79776836715
"16",20,"PC2",288.73789825887
"17",0,"PC1",0
"17",0,"PC2",0
"17",1,"PC1",8.24381651628433
"17",1,"PC2",8.64699690382028
"17",2,"PC1",17.6604540526925
"17",2,"PC2",20.0772693474947
"17",3,"PC1",27.6895640101052
"17",3,"PC2",34.041143504948
"17",4,"PC1",37.1833414469962
"17",4,"PC2",47.5890256659785
"17",5,"PC1",47.8061910587954
"17",5,"PC2",62.8478011530181
"17",6,"PC1",57.914748789573
"17",6,"PC2",77.9846319893691
"17",7,"PC1",68.4558777961415
"17",7,"PC2",95.6631023251489
"17",8,"PC1",79.9764639059564
"17",8,"PC2",111.985961978255
"17",9,"PC1",90.6999595729563
"17",9,"PC2",129.475092561926
"17",10,"PC1",102.329410819454
"17",10,"PC2",145.930518519664
"17",11,"PC1",113.624218242718
"17",11,"PC2",163.340265847247
"17",12,"PC1",125.287739789517
"17",12,"PC2",182.016143242064
"17",13,"PC1",136.797126650241
"17",13,"PC2",199.335810152694
"17",14,"PC1",148.058275057927
"17",14,"PC2",218.213829096046
"17",15,"PC1",159.688035246556
"17",15,"PC2",237.388686508043
"17",16,"PC1",171.54491583668
"17",16,"PC2",256.72102439676
"17",17,"PC1",183.834993437427
"17",17,"PC2",275.491285223285
"17",18,"PC1",195.514312181203
"17",18,"PC2",294.319786200964
"17",19,"PC1",206.832933253079
"17",19,"PC2",314.203565688259
"17",20,"PC1",218.509620706367
"17",20,"PC2",334.920190249828
"18",0,"PC1",0
"18",0,"PC2",0
